project,campaignid,sample,latitude,longitude,date,time,location,status,site,depth,observer,successful.count,successful.length,comment,fishnclips
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB531,-20.53742333,115.4458033,20141029,10:21:00,SW.Montebello.Sanctuary,No-take,3,9.2,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB532,-20.54477167,115.4574133,20141029,10:28:00,SW.Montebello.Sanctuary,No-take,3,8,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB533,-20.54879,115.4697,20141029,10:34:00,SW.Montebello.Sanctuary,No-take,3,9.2,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB534,-20.51263667,115.4801367,20141029,10:48:00,SW.Montebello.Sanctuary,No-take,4,8,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB535,-20.514815,115.4677083,20141029,10:54:00,SW.Montebello.Sanctuary,No-take,4,9.6,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB536,-20.51856667,115.4561783,20141029,10:59:00,SW.Montebello.Sanctuary,No-take,4,9.4,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB537,-20.51351333,115.4495533,20141029,11:05:00,SW.Montebello.Sanctuary,No-take,5,10.1,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB538,-20.503515,115.4448933,20141029,11:01:00,SW.Montebello.Sanctuary,No-take,5,10,Todd,Yes,No,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB539,-20.49274333,115.4475433,20141029,11:15:00,SW.Montebello.Sanctuary,No-take,5,10.4,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB540,-20.48459,115.4523683,20141029,11:19:00,SW.Montebello.Sanctuary,No-take,5,10.4,Todd,Yes,No,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB541,-20.45731333,115.46351,20141029,13:02:00,SW.Montebello.Sanctuary,No-take,6,10.3,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB542,-20.45141167,115.4658633,20141029,13:06:00,SW.Montebello.Sanctuary,No-take,6,8.5,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB543,-20.44637667,115.4674667,20141029,13:07:00,SW.Montebello.Sanctuary,No-take,6,9.5,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB544,-20.44036,115.4730217,20141029,13:11:00,SW.Montebello.Sanctuary,No-take,6,9.4,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB545,-20.4358,115.4761217,20141029,13:15:00,SW.Montebello.Sanctuary,No-take,6,9.1,Todd,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB546,-20.42827833,115.478225,20141029,13:02:00,NW.Montebello,Fished,7,9.7,Todd,Yes,Yes,NA,Yes
