Sample,fishnclips,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
52,Yes,-33.49265,115.2982,20141209,6:14:00,Geographe.Bay,Fished,NA,29.7,Lizzy,Yes,Yes,NA
53,Yes,-33.3582167,115.3565167,20141211,9:04:00,Geographe.Bay,Fished,NA,31.4,Lizzy,Yes,Yes,NA
54,Yes,-33.51305,115.1532,20141209,10:47:00,Geographe.Bay,Fished,NA,33.1,Lizzy,Yes,Yes,NA
55,Yes,-33.5708667,115.2801167,20141212,9:05:00,Geographe.Bay,Fished,NA,22.2,Lizzy,Yes,Yes,NA
56,Yes,-33.4953,115.2224167,20141209,9:49:00,Geographe.Bay,Fished,NA,32,Lizzy,Yes,Yes,NA
58,Yes,-33.56965,115.3795833,20141212,13:02:00,Geographe.Bay,Fished,NA,13.5,Lauren,Yes,Yes,NA
60,Yes,-33.3626167,115.5049333,20141211,9:55:00,Geographe.Bay,Fished,NA,21.5,Lizzy,Yes,Yes,NA
61,Yes,-33.4992833,115.1345167,20141209,12:50:00,Geographe.Bay,Fished,NA,34.8,Lauren,Yes,Yes,NA
62,Yes,-33.4505,115.3306833,20141211,6:24:00,Geographe.Bay,Fished,NA,29.3,Lizzy,Yes,Yes,NA
63,Yes,-33.50385,115.2562,20141209,6:29:00,Geographe.Bay,Fished,NA,30,Lauren,Yes,Yes,NA
64,Yes,-33.4364167,115.50945,20141211,12:54:00,Geographe.Bay,Fished,NA,14.2,Lauren,Yes,Yes,NA
65,Yes,-33.3597167,115.2047667,20141210,13:15:00,Geographe.Bay,Fished,NA,39.4,Lauren,Yes,Yes,NA
67,Yes,-33.4783167,115.0859333,20141209,13:58:00,Geographe.Bay,Fished,NA,39.4,Damo,Yes,Yes,NA
68,Yes,-33.3881667,115.2426,20141210,14:07:00,Geographe.Bay,Fished,NA,38.9,Lauren,Yes,Yes,NA
69,Yes,-33.3534333,115.4040333,20141211,9:23:00,Geographe.Bay,Fished,NA,28.7,Lizzy,Yes,Yes,NA
70,Yes,-33.4158833,115.1513667,20141210,10:46:00,Geographe.Bay,Fished,NA,41,Lauren,Yes,Yes,NA
71,Yes,-33.4270833,115.4286667,20141213,10:58:00,Geographe.Bay,Fished,NA,24.4,Lizzy,Yes,Yes,NA
72,Yes,-33.4624833,115.32235,20141211,6:07:00,Geographe.Bay,Fished,NA,29.4,Lizzy,Yes,Yes,NA
73,Yes,-33.3718,115.1456,20141210,10:10:00,Geographe.Bay,Fished,NA,41.5,Lauren,Yes,Yes,NA
75,Yes,-33.5893333,115.29455,20141212,8:52:00,Geographe.Bay,Fished,NA,16.6,Lauren,Yes,Yes,NA
76,Yes,-33.41295,115.2846833,20141211,7:01:00,Geographe.Bay,Fished,NA,35.2,Lizzy,Yes,Yes,NA
77,Yes,-33.45575,115.1029,20141209,13:50:00,Geographe.Bay,Fished,NA,40.8,Lauren,Yes,Yes,NA
78,Yes,-33.5076,115.4437667,20141213,6:18:00,Geographe.Bay,Fished,NA,13.4,Lauren,Yes,Yes,NA
79,Yes,-33.5874,115.2308833,20141212,8:16:00,Geographe.Bay,Fished,NA,18.5,Lauren,Yes,Yes,NA
80,Yes,-33.3515833,115.5195333,20141211,10:01:00,Geographe.Bay,Fished,NA,20.7,Lauren,Yes,Yes,NA
81,Yes,-33.3788167,115.23045,20141210,14:18:00,Geographe.Bay,Fished,NA,38.9,Laura,Yes,Yes,NA
82,Yes,-33.3955167,115.1102833,20141210,7:49:00,Geographe.Bay,Fished,NA,42.6,laura,Yes,Yes,NA
83,Yes,-33.46935,115.37905,20141213,10:26:00,Geographe.Bay,Fished,NA,24.6,Lauren,Yes,Yes,NA
84,Yes,-33.3964667,115.1924,20141210,11:28:00,Geographe.Bay,Fished,NA,41,Lizzy,Yes,Yes,NA
86,Yes,-33.5405167,115.1785167,20141209,7:24:00,Geographe.Bay,Fished,NA,28.6,Lizzy,Yes,Yes,NA
